url,coverage_state,bucket,target,fix
https://www.themodernwallet.com/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/529-savings-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/about/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/amortization-schedule/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/car-affordability-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/early-payoff-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/extra-payment-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/interest-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/payoff-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/auto-loan/refinance-calculator/,URL is unknown to Google,add internal links,src/pages/[category]/index.astro (instantiated for auto-loan; already lists this spoke); no code change,Already linked from /auto-loan/ hub — re-submit only; no internal-linking or code change needed.
https://www.themodernwallet.com/budget/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/budget/50-30-20-budget-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/budget/household-budget-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/budget/monthly-budget-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/budget/student-budget-calculator/,URL is unknown to Google,add internal links,src/pages/[category]/index.astro (instantiated for budget; already lists this spoke); no code change,Already linked from /budget/ hub — re-submit only; no internal-linking or code change needed.
https://www.themodernwallet.com/budget/zero-based-budget-calculator/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/business-line-of-credit/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/business-loan-payoff/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/calculators/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/cash-conversion-cycle/,URL is unknown to Google,already-fixed — awaiting recrawl,src/data/calculators.ts (cash-conversion-cycle); link added in src/data/bf-loc-hub.ts,"No action — fix already shipped; recorded so it isn't redone; awaiting Google recrawl (NO lastmod bump, NO re-submit — the page didn't change this run)."
https://www.themodernwallet.com/coast-fire/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/compare/,URL is unknown to Google,add internal links,src/components/SiteFooter.astro (already links this hub); no code change,"Already linked sitewide (footer, every page) — re-submit only; no internal-linking or code change needed."
https://www.themodernwallet.com/compare/1031-exchange-vs-opportunity-zone/,URL is unknown to Google,add internal links,src/pages/compare/index.astro (already lists this slug); no code change,Already linked from /compare/ — re-submit only (URL Inspection / Phase 7); no internal-linking or code change needed.
https://www.themodernwallet.com/compare/1099-vs-w2/,URL is unknown to Google,add internal links,src/pages/compare/index.astro (already lists this slug); no code change,Already linked from /compare/ — re-submit only (URL Inspection / Phase 7); no internal-linking or code change needed.
https://www.themodernwallet.com/compare/15-year-vs-20-year-vs-30-year-mortgage/,URL is unknown to Google,add internal links,src/pages/compare/index.astro (already lists this slug); no code change,Already linked from /compare/ — re-submit only (URL Inspection / Phase 7); no internal-linking or code change needed.
https://www.themodernwallet.com/compare/15-year-vs-30-year-mortgage/,Submitted and indexed,healthy,,No action — indexed
https://www.themodernwallet.com/compare/401k-vs-brokerage-account/,Submitted and indexed,healthy,,No action — indexed
